id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
1,"Sakamoto can ___ many difficult things.",do,make,have,get,1,"「do」は「～する」。坂本は多くの困難なことをすることができます。"
2,"Shin wants to ___ to a peaceful place.",go,come,walk,run,1,"「go」は「行く」。シンは平穏な場所に行きたがっています。"
3,"Lu can ___ a delicious meal.",make,get,take,have,1,"「make」は「作る」。ルーは美味しい食事を作ることができます。"
4,"Aoi ___ what Sakamoto is thinking.",knows,thinks,sees,likes,1,"「knows」は「知っている」。アオイは坂本が何を考えているか知っています。"
5,"Heisuke needs to ___ a good position for sniping.",take,get,find,see,1,"「take」は「取る」。ヘイスケは狙撃のために良い位置を取る必要があります。"
6,"Natsuki can ___ any computer.",use,make,get,take,1,"「use」は「使う」。ナツキはどんなコンピューターでも使えます。"
7,"Sakamoto doesn't ___ to lose his family.",want,need,like,hope,1,"「want」は「欲しい」。坂本は家族を失いたくありません。"
8,"This mission is very ___.",new,old,good,bad,1,"「new」は「新しい」。この任務は非常に新しいです。"
9,"Shin thinks this is the ___ thing to do.",right,wrong,good,bad,1,"「right」は「正しい」。シンはこれが正しいことだと考えています。"
10,"Lu has ___ friends in Japan.",many,few,some,any,1,"「many」は「多くの」。ルーは日本に多くの友達がいます。"
11,"Aoi thinks Sakamoto is a ___ person.",good,bad,new,old,1,"「good」は「良い」。アオイは坂本が良い人だと考えています。"
12,"This is the ___ mission for the team.",last,first,next,previous,1,"「last」は「最後の」。これがチームにとっての最後の任務です。"
13,"Heisuke was ___ for the meeting.",late,early,on time,just in time,1,"「late」は「遅刻した」。ヘイスケはその会議に遅刻しました。"
14,"Sakamoto is a ___ assassin.",great,good,bad,new,1,"「great」は「素晴らしい」。坂本は素晴らしい暗殺者です。"
15,"Shin has an ___ power.",old,new,good,bad,1,"「old」は「古い」。シンは古い力を持っています。"
16,"They are all in the ___ team.",same,different,new,old,1,"「same」は「同じ」。彼らは皆、同じチームにいます。"
17,"Lu has a ___ history.",long,short,new,old,1,"「long」は「長い」。ルーには長い歴史があります。"
18,"Natsuki found ___ clue.",another,other,different,same,1,"「another」は「別の」。ナツキは別の手がかりを見つけました。"
19,"This manga is very ___.",interesting,boring,dull,tiring,1,"「interesting」は「面白い」。この漫画はとても面白いです。"
20,"Sakamoto gets up ___ in the morning.",early,late,on time,just in time,1,"「early」は「早く」。坂本は朝早く起きます。"
21,"___ member has a role.",Each,Every,All,Some,1,"「Each」は「それぞれ」。それぞれのメンバーには役割があります。"
22,"Their fighting styles are ___.",different,same,similar,alike,1,"「different」は「異なる」。彼らの戦闘スタイルは異なります。"
23,"Heisuke looked at his ___ hand.",left,right,good,bad,1,"「left」は「左」。ヘイスケは左手を見ました。"
24,"Hana is still very ___.",young,old,new,good,1,"「young」は「若い」。ハナはまだとても若いです。"
25,"This ___ was very difficult for them.",year,month,week,day,1,"「year」は「年」。この年は彼らにとって非常に困難でした。"
26,"Sakamoto values his ___ with his family.",time,money,job,hobby,1,"「time」は「時間」。坂本は家族との時間を大切にしています。"
27,"Many ___ respect Sakamoto.",people,men,women,children,1,"「people」は「人々」。多くの人々が坂本を尊敬しています。"
28,"Shin found a new ___ to solve the problem.",way,road,street,path,1,"「way」は「方法」。シンは問題を解決する新しい方法を見つけました。"
29,"Sakamoto is a kind ___.",man,woman,person,human,1,"「man」は「男性」。坂本は親切な男性です。"
30,"Today is a special ___ for them.",day,night,morning,evening,1,"「day」は「日」。今日は彼らにとって特別な日です。"
31,"The most important ___ is family.",thing,idea,thought,fact,1,"「thing」は「こと」。最も重要なことは家族です。"
32,"Aoi keeps their ___ very clean.",house,home,room,place,1,"「house」は「家」。アオイは彼らの家をとても清潔に保っています。"
33,"This is a secret ___ for assassins.",place,spot,location,area,1,"「place」は「場所」。ここは暗殺者のための秘密の場所です。"
34,"Lu did not understand the ___ of his words.",meaning,sense,idea,thought,1,"「meaning」は「意味」。ルーは彼の言葉の意味を理解できませんでした。"
35,"Heisuke plays an important ___ in the team.",part,role,job,task,1,"「part」は「役割」。ヘイスケはチームで重要な役割を果たしています。"
36,"Natsuki lives in a different ___.",state,country,city,town,1,"「state」は「州」。ナツキは別の州に住んでいます。"
37,"Aoi is a strong ___.",woman,man,person,human,1,"「woman」は「女性」。アオイは強い女性です。"
38,"Their ___ is called the Sakamoto family.",group,team,family,band,1,"「group」は「グループ」。彼らのグループは坂本一家と呼ばれています。"
39,"The ___ of enemies is increasing.",number,amount,quantity,total,1,"「number」は「数」。敵の数が増えています。"
40,"Sakamoto wants to protect the ___.",world,country,city,town,1,"「world」は「世界」。坂本は世界を守りたいと思っています。"
41,"Shin hurt his ___ during the fight.",hand,arm,leg,foot,1,"「hand」は「手」。シンは戦いの間に手を負傷しました。"
42,"Lu used to work for a Chinese ___.",company,firm,business,organization,1,"「company」は「会社」。ルーは以前、中国の会社で働いていました。"
43,"Sakamoto chose a peaceful ___.",life,death,war,fight,1,"「life」は「人生」。坂本は平穏な人生を選びました。"
44,"Heisuke solved the ___ quickly.",problem,puzzle,riddle,mystery,1,"「problem」は「問題」。ヘイスケはその問題を素早く解決しました。"
45,"Natsuki has a ___ every week.",meeting,gathering,assembly,conference,1,"「meeting」は「会議」。ナツキは毎週会議があります。"
46,"Hana goes to ___ every day.",school,college,university,academy,1,"「school」は「学校」。ハナは毎日学校に行きます。"
47,"Sakamoto wrote a ___ for his wife.",report,letter,note,message,1,"「report」は「報告書」。坂本は妻のために報告書を書きました。"
48,"This room is very ___.",small,big,large,huge,1,"「small」は「小さい」。この部屋はとても小さいです。"
49,"Shin saw ___ in the dark.",something,anything,nothing,everything,1,"「something」は「何か」。シンは暗闇で何かを見ました。"
50,"Aoi is in the ___.",living room,bedroom,kitchen,bathroom,1,"「living room」は「居間」。アオイは居間にいます。"
51,"Sakamoto hit his ___ on the table.",head,arm,leg,foot,1,"「head」は「頭」。坂本はテーブルに頭をぶつけました。"
52,"Lu comes from a different ___.",country,city,town,village,1,"「country」は「国」。ルーは別の国から来ました。"
